dataset,condition,method,classifier,minority_%,AUC,F1,Precision,Recall
credit_default,native,smote,RF,50.0,0.7522,0.5041,0.5474,0.4671
credit_default,native,smote,LGBM,50.0,0.7644,0.4812,0.6088,0.3978
credit_default,native,smote,MLP,50.0,0.7322,0.4804,0.4192,0.5625
credit_default,native,smote,TabNet,50.0,0.7366,0.473,0.3936,0.5927
credit_default,native,adasyn,RF,32.0,0.7554,0.4758,0.6045,0.3923
credit_default,native,adasyn,LGBM,32.0,0.7608,0.5155,0.5177,0.5133
credit_default,native,adasyn,MLP,32.0,0.7679,0.5089,0.5906,0.447
credit_default,native,adasyn,TabNet,32.0,0.7467,0.482,0.5278,0.4435
credit_default,native,gsmote,RF,50.0,0.7494,0.5044,0.5589,0.4596
credit_default,native,gsmote,LGBM,50.0,0.7409,0.4892,0.5532,0.4385
credit_default,native,gsmote,MLP,50.0,0.6956,0.4437,0.3476,0.6133
credit_default,native,gsmote,TabNet,50.0,0.7183,0.4753,0.397,0.5922
credit_default,native,ctgan,RF,48.6,0.7716,0.474,0.6448,0.3747
credit_default,native,ctgan,LGBM,48.6,0.7797,0.4652,0.6602,0.3591
credit_default,native,ctgan,MLP,48.6,0.759,0.4728,0.5794,0.3993
credit_default,native,ctgan,TabNet,48.6,0.7674,0.4416,0.6476,0.335
credit_default,native,gctgan,RF,42.1,0.7747,0.4874,0.642,0.3928
credit_default,native,gctgan,LGBM,42.1,0.7787,0.4811,0.6389,0.3857
credit_default,native,gctgan,MLP,42.1,0.7609,0.4893,0.5803,0.4229
credit_default,native,gctgan,TabNet,42.1,0.7568,0.4707,0.606,0.3847
credit_default,unified,none,RF,22.1,0.7757,0.5421,0.5201,0.566
credit_default,unified,none,LGBM,22.1,0.7787,0.533,0.4681,0.6188
credit_default,unified,none,MLP,22.1,0.7484,0.4428,0.6452,0.337
credit_default,unified,none,TabNet,22.1,0.7606,0.4513,0.654,0.3446
credit_default,unified,smote,RF,50.0,0.7522,0.5041,0.5474,0.4671
credit_default,unified,smote,LGBM,50.0,0.7644,0.4812,0.6088,0.3978
credit_default,unified,smote,MLP,50.0,0.7322,0.4804,0.4192,0.5625
credit_default,unified,smote,TabNet,50.0,0.7366,0.473,0.3936,0.5927
credit_default,unified,adasyn,RF,32.0,0.7554,0.4758,0.6045,0.3923
credit_default,unified,adasyn,LGBM,32.0,0.7608,0.5155,0.5177,0.5133
credit_default,unified,adasyn,MLP,32.0,0.7679,0.5089,0.5906,0.447
credit_default,unified,adasyn,TabNet,32.0,0.7467,0.482,0.5278,0.4435
credit_default,unified,gsmote,RF,50.0,0.7494,0.5044,0.5589,0.4596
credit_default,unified,gsmote,LGBM,50.0,0.7409,0.4892,0.5532,0.4385
credit_default,unified,gsmote,MLP,50.0,0.6956,0.4437,0.3476,0.6133
credit_default,unified,gsmote,TabNet,50.0,0.7183,0.4753,0.397,0.5922
credit_default,unified,ctgan,RF,50.0,0.7732,0.4671,0.648,0.3651
credit_default,unified,ctgan,LGBM,50.0,0.7791,0.4643,0.6617,0.3576
credit_default,unified,ctgan,MLP,50.0,0.7535,0.4655,0.5467,0.4053
credit_default,unified,ctgan,TabNet,50.0,0.7668,0.443,0.6268,0.3425
