dataset,condition,method,classifier,best_params
credit_default,native,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,native,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,native,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,native,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,native,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,native,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,native,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,native,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,native,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,native,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,native,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,native,gsmote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,native,ctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,native,ctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,native,ctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_default,native,ctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,native,gctgan,RF,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,native,gctgan,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,native,gctgan,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_default,native,gctgan,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,none,RF,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 200}"
credit_default,unified,none,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}"
credit_default,unified,none,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'max_iter': 300}"
credit_default,unified,none,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,smote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,unified,smote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,unified,smote,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,unified,smote,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,adasyn,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,unified,adasyn,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,unified,adasyn,MLP,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
credit_default,unified,adasyn,TabNet,"{'n_d': 16, 'n_a': 16, 'n_steps': 3, 'gamma': 1.3, 'n_independent': 2, 'n_shared': 2, 'momentum': 0.02, 'mask_type': 'entmax'}"
credit_default,unified,gsmote,RF,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}"
credit_default,unified,gsmote,LGBM,"{'class_weight': 'balanced', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 63}"
credit_default,unified,gsmote,MLP,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64), 'max_iter': 300}"
