Dataset,Classifier,Method,AUC,F1,Precision,Recall
Credit Default,RF,SMOTE,0.7522,0.5041,0.5474,0.4671
Credit Default,RF,ADASYN,0.7554,0.4758,0.6045,0.3923
Credit Default,RF,G-SMOTE,0.7494,0.5044,0.5589,0.4596
Credit Default,RF,CTGAN,0.7716,0.474,0.6448,0.3747
Credit Default,RF,G-CTGAN,0.7747,0.4874,0.642,0.3928
Credit Default,LGBM,SMOTE,0.7644,0.4812,0.6088,0.3978
Credit Default,LGBM,ADASYN,0.7608,0.5155,0.5177,0.5133
Credit Default,LGBM,G-SMOTE,0.7409,0.4892,0.5532,0.4385
Credit Default,LGBM,CTGAN,0.7797,0.4652,0.6602,0.3591
Credit Default,LGBM,G-CTGAN,0.7787,0.4811,0.6389,0.3857
Credit Default,MLP,SMOTE,0.7322,0.4804,0.4192,0.5625
Credit Default,MLP,ADASYN,0.7679,0.5089,0.5906,0.447
Credit Default,MLP,G-SMOTE,0.6956,0.4437,0.3476,0.6133
Credit Default,MLP,CTGAN,0.759,0.4728,0.5794,0.3993
Credit Default,MLP,G-CTGAN,0.7609,0.4893,0.5803,0.4229
Credit Default,TabNet,SMOTE,0.7366,0.473,0.3936,0.5927
Credit Default,TabNet,ADASYN,0.7467,0.482,0.5278,0.4435
Credit Default,TabNet,G-SMOTE,0.7183,0.4753,0.397,0.5922
Credit Default,TabNet,CTGAN,0.7674,0.4416,0.6476,0.335
Credit Default,TabNet,G-CTGAN,0.7568,0.4707,0.606,0.3847
Credit Fraud,RF,SMOTE,0.9497,0.8345,0.8923,0.7838
Credit Fraud,RF,ADASYN,0.966,0.8058,0.8615,0.7568
Credit Fraud,RF,G-SMOTE,0.9453,0.8303,0.8915,0.777
Credit Fraud,RF,CTGAN,0.9686,0.7947,0.7792,0.8108
Credit Fraud,RF,G-CTGAN,0.9605,0.7401,0.676,0.8176
Credit Fraud,LGBM,SMOTE,0.97,0.8459,0.9008,0.7973
Credit Fraud,LGBM,ADASYN,0.9672,0.8084,0.8345,0.7838
Credit Fraud,LGBM,G-SMOTE,0.9544,0.7683,0.7246,0.8176
Credit Fraud,LGBM,CTGAN,0.9671,0.8082,0.8194,0.7973
Credit Fraud,LGBM,G-CTGAN,0.9695,0.8163,0.8219,0.8108
Credit Fraud,MLP,SMOTE,0.9396,0.7375,0.7255,0.75
Credit Fraud,MLP,ADASYN,0.952,0.7872,0.8284,0.75
Credit Fraud,MLP,G-SMOTE,0.9202,0.7379,0.7081,0.7703
Credit Fraud,MLP,CTGAN,0.9611,0.7912,0.864,0.7297
Credit Fraud,MLP,G-CTGAN,0.9605,0.7664,0.8333,0.7095
Credit Fraud,TabNet,SMOTE,0.9266,0.7093,0.6224,0.8243
Credit Fraud,TabNet,ADASYN,0.9307,0.7104,0.6364,0.8041
Credit Fraud,TabNet,G-SMOTE,0.9053,0.7436,0.7073,0.7838
Credit Fraud,TabNet,CTGAN,0.9508,0.8097,0.8298,0.7905
Credit Fraud,TabNet,G-CTGAN,0.9632,0.8058,0.8615,0.7568
Pima Diabetes,RF,SMOTE,0.8409,0.6541,0.6667,0.642
Pima Diabetes,RF,ADASYN,0.8409,0.6541,0.6667,0.642
Pima Diabetes,RF,G-SMOTE,0.8161,0.6512,0.6154,0.6914
Pima Diabetes,RF,CTGAN,0.8337,0.6203,0.6364,0.6049
Pima Diabetes,RF,G-CTGAN,0.8274,0.5987,0.6184,0.5802
Pima Diabetes,LGBM,SMOTE,0.8133,0.6335,0.6375,0.6296
Pima Diabetes,LGBM,ADASYN,0.8133,0.6335,0.6375,0.6296
Pima Diabetes,LGBM,G-SMOTE,0.8021,0.6341,0.6265,0.642
Pima Diabetes,LGBM,CTGAN,0.8133,0.6115,0.6316,0.5926
Pima Diabetes,LGBM,G-CTGAN,0.7956,0.6296,0.6296,0.6296
Pima Diabetes,MLP,SMOTE,0.8449,0.7191,0.6598,0.7901
Pima Diabetes,MLP,ADASYN,0.8449,0.7191,0.6598,0.7901
Pima Diabetes,MLP,G-SMOTE,0.8474,0.6943,0.5982,0.8272
Pima Diabetes,MLP,CTGAN,0.8491,0.6626,0.6585,0.6667
Pima Diabetes,MLP,G-CTGAN,0.7976,0.5538,0.7347,0.4444
Pima Diabetes,TabNet,SMOTE,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,ADASYN,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,G-SMOTE,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,CTGAN,0.5455,0.4199,0.38,0.4691
Pima Diabetes,TabNet,G-CTGAN,0.5455,0.4199,0.38,0.4691
IBM Attrition,RF,SMOTE,0.7758,0.3333,0.5484,0.2394
IBM Attrition,RF,ADASYN,0.779,0.3232,0.5714,0.2254
IBM Attrition,RF,G-SMOTE,0.7488,0.3333,0.4865,0.2535
IBM Attrition,RF,CTGAN,0.7592,0.2474,0.4615,0.169
IBM Attrition,RF,G-CTGAN,0.7645,0.2947,0.5833,0.1972
IBM Attrition,LGBM,SMOTE,0.7469,0.3636,0.6429,0.2535
IBM Attrition,LGBM,ADASYN,0.7574,0.3495,0.5625,0.2535
IBM Attrition,LGBM,G-SMOTE,0.7247,0.3604,0.5,0.2817
IBM Attrition,LGBM,CTGAN,0.7668,0.3529,0.5806,0.2535
IBM Attrition,LGBM,G-CTGAN,0.7485,0.3564,0.6,0.2535
IBM Attrition,MLP,SMOTE,0.7548,0.4521,0.44,0.4648
IBM Attrition,MLP,ADASYN,0.7303,0.4889,0.5156,0.4648
IBM Attrition,MLP,G-SMOTE,0.7367,0.4865,0.4675,0.507
IBM Attrition,MLP,CTGAN,0.7429,0.4196,0.4167,0.4225
IBM Attrition,MLP,G-CTGAN,0.7574,0.4564,0.4359,0.4789
IBM Attrition,TabNet,SMOTE,0.6209,0.3544,0.3218,0.3944
IBM Attrition,TabNet,ADASYN,0.6896,0.4342,0.4074,0.4648
IBM Attrition,TabNet,G-SMOTE,0.7201,0.4421,0.3529,0.5915
IBM Attrition,TabNet,CTGAN,0.7188,0.4184,0.328,0.5775
IBM Attrition,TabNet,G-CTGAN,0.7,0.4024,0.3548,0.4648
